ключ	статус	строка_книги	где	файлы_html	текст
Если вы делали всё самостоятельно, рекомендуем использовать в расчёте сумму, которую пришлось бы заплатить наёмным специалистам за аналогичную работу, и общую стоимость закупленных материалов.
shd_04	ok	172	Форма · вопросы анкеты	web/calc.html	Курсы, семинары, мастер-классы, наставничество. Это ваш опыт, за который вы заплатили деньгами и месяцами жизни — он тоже должен окупаться через стоимость часа.
shd_05	ok	220	Форма · вопросы анкеты	web/calc.html	Платежи за банковское обслуживание и услуги, которые оплачиваются в фиксированной сумме.
shd_06	ok	232	Форма · вопросы анкеты	web/calc.html	Плата, которую взимает банк в виде процента от суммы произведённой операции.
sm_01	ok	36	Форма · вопросы анкеты	web/calc.html	Официальные нормы труда и отдыха, установленные государством.
sm_02	ok	40	Форма · вопросы анкеты	web/calc.html	И один больничный — чтобы спокойно восстановиться без страха потерять доход.
sm_03	ok	44	Форма · вопросы анкеты	web/calc.html	И 8-часовой рабочий день — норма труда, установленная законом.
ss_rash	только_HTML			web/calc.html	
ss_rez	только_HTML			web/calc.html	
ss_time	только_HTML			web/calc.html	
st_01	только_книга	269	Форма · блок оплаты (paywall)		Что вы узнаете из отчёта
sub_01	ok	8	Форма · шапка	web/calc.html	Калькулятор для фотографов и видеографов. Считает ставку, которая покроет не только съёмку, но и обработку, продвижение, технику и налоги.
th_01	ok	326	Форма · вопросы анкеты	web/calc.html	Длительность съёмкиЦена съёмки
Цена часаСкидка от базовой


Почему цена часа падает
th_02	ok	327	Форма · вопросы	web/calc.html	Стоимость
th_03	ok	328	Форма · вопросы	web/calc.html	Срок службы
th_04	ok	329	Форма · вопросы анкеты	web/calc.html	ПозицияСтоимость
Срок службы

+ Добавить позицию
th_05	ok	93	Форма · вопросы	web/calc.html	Стоимость
th_06	ok	94	Форма · вопросы анкеты	web/calc.html	Срок службы
th_07	ok	104	Форма · вопросы анкеты	web/calc.html	ПозицияСтоимость
Период

+ Добавить подписку
th_08	ok	105	Форма · вопросы	web/calc.html	Стоимость
th_09	ok	106	Форма · вопросы анкеты	web/calc.html	Период
th_10	ok	114	Форма · вопросы анкеты	web/calc.html	ПозицияСтоимость
Срок службы

+ Добавить программу
th_11	ok	115	Форма · вопросы	web/calc.html	Стоимость
th_12	ok	116	Форма · вопросы анкеты	web/calc.html	Срок службы
th_13	ok	162	Форма · вопросы анкеты	web/calc.html	ПозицияСтоимость
Срок службы

+ Добавить позицию
th_14	ok	163	Форма · вопросы	web/calc.html	Стоимость
th_15	ok	164	Форма · вопросы анкеты	web/calc.html	Срок службы
th_16	ok	174	Форма · вопросы анкеты	web/calc.html	ОбучениеСтоимость
Месяцев учились

+ Добавить обучение
th_17	ok	175	Форма · вопросы	web/calc.html	Стоимость
th_18	ok	176	Форма · вопросы анкеты	web/calc.html	Месяцев учились
th_19	ok	210	Форма · вопросы анкеты	web/calc.html	КаналСтоимость
Период

+ Добавить канал
th_20	ok	211	Форма · вопросы	web/calc.html	Стоимость
th_21	ok	212	Форма · вопросы анкеты	web/calc.html	Период
th_22	ok	222	Форма · вопросы анкеты	web/calc.html	ПозицияСтоимость
Период

+ Добавить платёж
th_23	ok	223	Форма · вопросы	web/calc.html	Стоимость
th_24	ok	224	Форма · вопросы анкеты	web/calc.html	Период
th_25	только_книга	317	Форма · размытое превью отчёта		РольЧасов в год
Часов на проект₽ в год₽ с часа съёмки
th_26	только_книга	318	Форма · вопросы		Часов в год
th_27	только_книга	319	Форма · размытое превью отчёта		Часов на проект
tp_01	ok	34	Форма · вопросы анкеты	web/calc.html	Человеческие условия
tp_02	ok	38	Форма · вопросы анкеты	web/calc.html	Право на отдых
tp_03	ok	42	Форма · вопросы анкеты	web/calc.html	Комфортный распорядок
un_01	ok	16	Форма · вопросы анкеты	web/calc.html	₽/мес
un_02	ok	30	Форма · вопросы анкеты	web/calc.html	₽/час
un_03	ok	54	Форма · вопросы анкеты	web/calc.html	часов
un_03b	ok	495	Форма · вопросы анкеты	web/calc.html	кадров/час
un_04	ok	64	Форма · вопросы анкеты	web/calc.html	часа
un_05	ok	70	Форма · вопросы анкеты	web/calc.html	часа
un_06	ok	76	Форма · вопросы анкеты	web/calc.html	ч/день
un_07	ok	130	Форма · вопросы анкеты	web/calc.html	₽/мес
un_08	ok	136	Форма · вопросы анкеты	web/calc.html	₽/мес
un_09	ok	140	Форма · вопросы анкеты	web/calc.html	м²
un_10	ok	146	Форма · вопросы анкеты	web/calc.html	м²
un_11	ok	152	Форма · вопросы анкеты	web/calc.html	₽/мес
un_12	ok	156	Форма · вопросы анкеты	web/calc.html	₽/мес
un_13	ok	184	Форма · вопросы анкеты	web/calc.html	лет
un_14	ok	198	Форма · вопросы анкеты	web/calc.html	часов
un_15	ok	204	Форма · вопросы анкеты	web/calc.html	лет
un_16	ok	246	Форма · вопросы анкеты	web/calc.html	часа
un_17	ok	250	Форма · вопросы анкеты	web/calc.html	₽/мес
wa_01	только_HTML			web/index.html	
wa_02	только_HTML			web/index.html	
wa_03	только_HTML			web/index.html	
wa_04	только_HTML			web/index.html	
wa_05	только_HTML			web/index.html	
wa_06	только_HTML			web/index.html	
wah_01	только_HTML			web/index.html	
wax_01	только_HTML			web/index.html	
wax_02	только_HTML			web/index.html	
wax_03	только_HTML			web/index.html	
wax_04	только_HTML			web/index.html	
wax_05	только_HTML			web/index.html	
wax_06	только_HTML			web/index.html	
wc_01	только_HTML			web/index.html	
wg_01	только_HTML			web/index.html	
why_01	только_книга	336	Форма · блок оплаты (paywall)		Цена по вашей реферальной ссылке — для тех, кто пришёл от друга или из нашего блога
wl_01	только_HTML			web/index.html	
wt_01	только_HTML			web/index.html	
wt_02	только_HTML			web/index.html	
wt_03	только_HTML			web/index.html	
wt_04	только_HTML			web/index.html	
wt_05	только_HTML			web/index.html	
